All,Tot
"Flush Magento Cache","Buidar la caché de Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","L’emmagatzematge de la memòria cau pot contenir dades addicionals. Esteu segur que voleu desfer-vos-en?"
"Flush Cache Storage","Buidar l'emmagatzematge de caché"
Invalidated,Invalidat
Orders,Comandes
Amounts,Quantitats
Bestsellers,"Més venuts"
"Most Viewed Products","Productes més vists"
"New Customers","Nous clients"
Customer,Client
Guest,Convidat
Items,Elements
"Lifetime Sales","Ventes acumulades"
"Average Order","Mitjana de comandes"
Average,Mitjana
Views,Vistes
Revenue,Ingressos
Tax,Impostos
Shipping,Enviament
"Images (.gif, .jpg, .png)","Imatges (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Multimèdia (.avi, .flv, .swf)"
"All Files","Tots els fitxers"
"Reset to Default","Restableix al Valor Predeterminat"
"All Store Views","Totes les Vistes de la Botiga"
"What is this?","Què és això?"
"Save Account","Desa el Compte"
"My Account","El meu compte"
"Account Information","Informació del compte"
"User Name","Nom d'usuari"
"First Name",Nom
"Last Name",Cognoms
Email,"Correu electrònic"
"User Email","Correu electrònic de l'usuari"
"New Password","Nova Contrasenya"
"Password Confirmation","Confirmació de la contrasenya"
"Interface Locale","Interfície de configuració regional"
"Current User Identity Verification","Verificació d’Identitat d’Usuari Actual"
"Your Password","La teva contrasenya"
"Save Cache Settings","Desar la configuració de la caché"
"Catalog Rewrites","Ressenyes del Catàleg"
Refresh,Refrescar
"Images Cache","Memòria Cau d'Imatges"
Clear,Netejar
"Search Index","Índex de Cerca"
Rebuild,Reconstruïr
"Inventory Stock Status","Estat de l'Inventari d'Existències"
"Rebuild Catalog Index","Reconstruir Índex de Catàleg"
"Rebuild Flat Catalog Category","Reconstruir Categoria de Catàleg Pla"
"Rebuild Flat Catalog Product","Reconstruir Producte de Catàleg Pla"
"Cache Control","Control de Memòria Cau"
"All Cache","Tota la Memòria Cau"
"No change","Cap canvi"
Disable,Deshabilita
Enable,Habilita
"Add Design Change","Afegir Canvi de Disseny"
Delete,Eliminar
Save,Desar
"Edit Design Change","Modificar Canvi de Disseny"
"New Store Design Change","Canvi de Disseny de Nova Botiga"
"General Settings","Configuració General"
"-- Please Select --","-- Si us plau, seleccioneu --"
"Custom Design","Disseny personalitzat"
"Date From","Data des de"
"Date To","Data Fins"
"Design Change","Canvi de Disseny"
"Delete %1 '%2'","Eliminar %1 '%2'"
"Delete %1","Eliminar %1"
"Block Information","Informació del bloc"
"Backup Options","Opcions de Còpia de Seguretat"
"Create DB Backup","Crear còpia de seguretat de la Base de Dades"
"Delete Store","Eliminar Botiga"
"Delete Web Site","Eliminar Lloc Web"
"Save Web Site","Desar Lloc Web"
"Save Store","Desar Botiga"
"Save Store View","Desar Vista de Botiga"
"Delete Store View","Eliminar Vista de Botiga"
"Edit Web Site","Modificar Lloc Web"
"New Web Site","Nou Lloc Web"
"Edit Store","Modificar Botiga"
"New Store","Nova Botiga"
"Edit Store View","Modificar Vista de Botiga"
"New Store View","Nova Vista de Botiga"
"Store Information","Informació de Botiga"
"Web Site","Lloc Web"
Name,Nom
Code,Codi
"Root Category","Categoria Arrel"
"Default Store View","Vista de Botiga per Defecte"
"Store View Information","Informació de Vista de Botiga"
Disabled,Deshabilitat
"Web Site Information","Infomació del Lloc Web"
"Default Store","Botiga Predeterminada"
"Set as Default","Estableix per Defecte"
Stores,Botigues
"Create Website","Crear Lloc Web"
"Create Store","Crear Botiga"
"Create Store View","Crear Vista de Botiga"
Home,Inici
"Are you sure you want to do this?","Esteu segur que voleu fer-ho?"
"Add New Image","Afegir Nova Imatge"
"Export block for grid %1 is not defined","El bloc d'exportació de la graella %1 no està definit"
"Reset Filter","Restablir Filtre"
Search,Cerca
Any,Qualsevol
"All Countries","Tots els Països"
From,"Des de"
To,Fins
"Date selector","Selector de data"
"[ deleted ]","[ eliminat ]"
"Select All","Selecciona Tot"
" [deleted]"," [eliminat]"
"We couldn't find any records.","No podem trobar cap registre."
"Add New","Afegeix Nou"
"Invalid export type supplied for grid export block","Tipus d'exportació no vàlid subministrat per al bloc d'exportació de la graella"
Export,Exportar
"Please correct the column format and try again.","Si us plau, corregiu el format de la columna i torneu-ho a provar."
"Please select items.","Si us plau, selecciona elements."
Submit,Enviar
"Unknown block type","Tipus de bloc desconegut"
"Please correct the tab configuration and try again. Tab Id should be not empty","Si us plau, corregiu la configuració de la pestanya i proveu un altre cop. L'Identificador de la pestanya no pot ser buit"
"Please correct the tab configuration and try again.","Si us plau, corregiu el format de la pestanya i torneu-ho a provar."
"You have logged out.","Heu tancat la sessió."
"Specified cache type(s) don't exist: %1","El tipus de memoria(es) cau especificat(s) no existeix: %1"
"The image cache was cleaned.","La memòria cau d'imatges es va netejar."
"An error occurred while clearing the image cache.","S'ha produït un error en esborrar la memòria cau de la imatge."
"The JavaScript/CSS cache has been cleaned.","S'ha netejat la memòria cau JavaScript/CSS."
"An error occurred while clearing the JavaScript/CSS cache.","S'ha produït un error en esborrar la memòria cau de JavaScript/CSS."
"The static files cache has been cleaned.","S'ha netejat la memòria cau de fitxers estàtics."
"You flushed the cache storage.","S'ha netejat la memòria cau."
"The Magento cache storage has been flushed.","La memòria cau Magento s’ha netejat."
"Cache Management","Gestió de Memòria Cau"
"You can't change status of cache type(s) in production mode","No podeu canviar l'estat dels tipus de memòria cau en el mode de producció"
"%1 cache type(s) disabled.","tipus de memòria cau %1 deshabilitat."
"An error occurred while disabling cache.","S'ha produït un error en desactivar la memòria cau."
"%1 cache type(s) enabled.","tipus de memòria cau %1 habilitat."
"An error occurred while enabling cache.","S'ha produït un error en activar la memòria cau."
"%1 cache type(s) refreshed.","tipus de memòria cau %1 refrescat."
"An error occurred while refreshing cache.","S'ha produït un error en refrescar la memòria cau."
Dashboard,"Panell de contol"
"We updated lifetime statistic.","Hem actualitzat les estadístiques acumulades."
"We can't refresh lifetime statistics.","No podem actualitzar les estadístiques en temps real."
"invalid request","sol·licitud invàlida"
"see error log for details","consulteu el registre d’errors per obtenir més detalls"
"Service unavailable: %1","Servei no disponible: %1"
"Access Denied.","Accés Denegat."
"You need more permissions to do this.","Per fer això necessiteu més permisos."
"No search modules were registered","No s’han registrat mòduls de cerca"
"Please make sure that all global admin search modules are installed and activated.","Assegureu-vos que estan instal·lats i activats tots els mòduls de cerca d'administració globals."
"You saved the account.","Heu desat el compte."
"An error occurred while saving account.","S'ha produït un error en desar el compte."
"You deleted the design change.","Heu eliminat el canvi de disseny."
"You can't delete the design change.","No podeu eliminar el canvi de disseny."
"Store Design","Disseny de Botiga"
"Edit Store Design Change","Modificar Canvi de Disseny de Botiga"
"You saved the design change.","Heu desat el canvi de disseny."
System,Sistema
"Manage Stores","Gestionar Botigues"
"The database was backed up.","S'ha creat una còpia de seguretat de la base de dades."
"We can't create a backup right now. Please try again later.","No es pot crear una còpia de seguretat ara mateix. Intenti-ho més tard."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Si elimineu %1, no s'eliminarà la informació associada a %1 (per exemple, categories, productes, etc.), però %1 no es podrà restaurar. Es suggereix que creeu una còpia de seguretat de la base de dades abans d'eliminar %1."
"Something went wrong. Please try again.","Alguna cosa ha fallat. Si us plau, torneu-ho a provar."
"This store cannot be deleted.","Aquesta botiga no es pot eliminar."
"You deleted the store.","Heu eliminat la botiga."
"Unable to delete the store. Please try again later.","No es pot eliminar la botiga. Si us plau, intenteu-ho més tard."
"This store view cannot be deleted.","Aquesta vista de botiga no es pot eliminar."
"Store View","Vista de Botiga"
"You deleted the store view.","Heu eliminat la vista de botiga."
"Unable to delete the store view. Please try again later.","No es pot eliminar la vista de botiga. Si us plau, intenteu-ho més tard."
"This website cannot be deleted.","Aquest lloc web no es pot eliminar."
"You deleted the website.","Heu eliminat el lloc web."
"Unable to delete the website. Please try again later.","No es pot eliminar el lloc web. Si us plau, intenteu-ho més tard."
"The website does not exist.","El lloc web no existeix."
"Before modifying the website code please make sure it is not used in index.php.","Abans de modificar el codi del lloc web, assegureu-vos que no s’utilitzi a index.php."
"The store does not exist","La botiga no existeix"
"Store view doesn't exist","La vista de botiga no existeix"
"Before modifying the store view code please make sure it is not used in index.php.","Abans de modificar el codi de la vista de botiga, assegureu-vos que no s’utilitzi a index.php."
"New ","Nou "
"All Stores","Totes les Botigues"
"You saved the website.","Heu desat el lloc web."
"The default store cannot be disabled","La botiga predeterminada no pot ser deshabilitada"
"You saved the store view.","Heu desat la vista de botiga."
"An inactive store view cannot be saved as default store view","No es pot desar una vista de botiga inactiva com a vista de botiga predeterminada"
"You saved the store.","Heu desat la vista de botiga."
"Something went wrong while saving. Please review the error log.","Alguna cosa ha fallat en desar. Si us plau, reviseu el registre d’errors."
"Last 24 Hours","Darreres 24 hores"
"Last 7 Days","Darrers 7 dies"
"Current Month","Mes actual"
YTD,"Any fins a la data"
2YTD,"2 anys fins a la data"
"Authentication storage is incorrect.","L'emmagatzematge de l'autenticació no és correcte."
"You did not sign in correctly or your account is temporarily disabled.","No has iniciat sessió correctament o el teu compte està temporalment desactivat."
